n k d
4800 2185 4
1776 291 4
1080 18 4
2304 705 4
1776 291 4
456 126 4
2304 705 4
1080 0 0
1776 291 4
1480 270 4
608 1 6
864 190 4
2304 705 4
864 190 4
2688 742 4
864 0 0
2304 705 4
864 190 4
1480 270 4
24 0 0
7776 4456 4
1080 209 4
112 1 4
