n k d wx wz
4864 1705 4 320 32
2688 377 4 192 32
2304 365 4 132 24
1480 1 4 48 8
1776 569 4 132 24
3416 913 4 132 24
1776 291 4 192 32
4800 1676 4 320 32
1480 270 4 192 32
1920 329 4 132 24
1920 328 4 132 24
608 1 6 48 8
3072 401 4 192 32
1920 644 4 216 24
3416 1340 4 216 24
2928 852 4 216 24
2304 358 4 192 32
1480 1 6 48 8
7776 4456 4 216 24
8640 3978 4 320 32
1184 1 4 32 8
2688 377 4 132 24
456 1 4 32 8
6552 2697 4 320 32
4800 2185 4 216 24
1480 270 4 132 24
4800 1676 4 216 24
1080 209 4 132 24
1296 9 6 48 8
5400 1737 4 320 32
10160 5368 4 320 32
864 190 4 132 24
2304 358 4 132 24
4200 1585 4 216 24
3416 913 4 320 32
2304 705 4 216 24
1776 1 10 48 8
1776 1 12 48 8
3416 913 4 216 24
1776 1 8 48 8
192 0 0 12 6
456 126 4 96 24
2352 369 4 132 24
2304 705 4 132 24
1080 18 4 48 8
2928 852 4 320 32
3072 787 4 192 32
3416 923 4 132 24
7776 3809 4 216 24
3904 953 4 132 24
288 0 0 48 8
112 1 4 32 8
1776 291 4 132 24
864 0 0 48 8
24 0 0 12 6
384 9 4 48 8
14208 7569 4 320 32
7280 2793 4 320 32
3904 953 4 192 32
6552 2697 4 216 24
1080 0 0 48 8
864 6 4 48 8
1184 240 4 96 24
648 0 0 12 6
3904 953 4 320 32
896 201 4 128 32
1776 33 4 48 8
2688 742 4 216 24
5824 2570 4 216 24
11176 5585 4 320 32
896 8 4 32 8
2688 742 4 192 32
